ALNU,57000.0,18.2,17.5,2.56,1,RUB,354,Сырье
CHEP,211.5,7.2,17.5,6.25,1,RUB,625,Сырье
KZOS,80.3,9.7,17.5,7.73,1,RUB,650,Сырье
NKNC,87.55,22.7,17.5,11.6,1,RUB,776,Сырье
CHMF,1006.8,12.0,8.7,8.4,4,RUB,1092,Сырье
VSMO,17120.0,10.2,51.8,28.17,2,RUB,1103,Сырье
KZOSP,11.21,2.2,17.5,7.73,1,RUB,1110,Сырье
ALRS,74.75,10.6,31.8,19.29,2,RUB,1114,Сырье
MTLRP,66.6,27.3,78.6,286.79,1,RUB,1122,Сырье
NKNCP,76.72,25.9,12.0,11.6,1,RUB,1146,Сырье
GMKN,19240.0,11.8,18.4,16.31,3,RUB,1200,Сырье
MAGN,37.395,9.5,3.6,10.1,3,RUB,1287,Сырье
NLMK,173.84,9.6,16.1,14.65,+3,RUB,1504,Сырье
AKRN,6216.0,5.8,17.5,40.64,3,RUB,1507,Сырье
SELG,42.76,1.8,17.5,12.207294117647061,1,RUB,1546,Сырье
RASP,120.86,2.0,-1.7,10.36,+1,RUB,1698,Сырье
PHOR,2864.0,8.6,4.7,17.06,+4,RUB,1771,Сырье
PLZL,17001.0,1.8,1.9,27.13,+2,RUB,2280,Сырье
RUAL,31.17,0.0,-0.6,12.207294117647061,0,RUB,2423,Сырье
POGR,33.69,0.0,-5.1,51.99,0,RUB,3046,Сырье
